```
RESERVOIR SUMMARY OPTION: 3 WELL: WC DATE: 4-25-77
WELL REFERENCE NO: INT00209 OPERATOR: PHILLIPS PET. CO. LEASE AND TRACT: 7/11 WELL #: 1X

| TOP | BASE | ZONE CODE | ZONE NAME |
|-----|------|-----------|-----------|
| 9300.0 | 10230.0 | 1 | ZONE 1 |

DISCRIMINATION
CHANNELS

| CHANNELS | MAXIMUM | MINIMUM | NAME AND UNITS |
|----------|---------|---------|----------------|
| 51 | 30.00 | .00 | VSH % |
| 55 | 50.00 | 7.00 | POR E % |
| 60 | 70.00 | .00 | SW % |

| DEPTH | POROSITY | SW | SUMMATION POR-FT | SUMMATION SW-FT | SUMMATION HPV | SUMMATION TVD | FAIL DISCRIMINATION |
|-------|----------|----|------------------|------------------|----------------|----------------|---------------------|
| 9300.0 | .29 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9301.0 | 1.73 | 151.67 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9302.0 | 11.33 | 128.48 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9303.0 | 4.96 | 152.86 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9304.0 | 3.25 | 153.57 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9305.0 | 5.99 | 136.50 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9306.0 | 3.15 | 143.73 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9307.0 | 7.14 | 128.46 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9308.0 | 9.62 | 128.68 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9309.0 | 1.81 | 147.35 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9310.0 | 1.36 | 152.06 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9311.0 | 2.29 | 154.90 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9312.0 | 1.07 | 152.82 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9313.0 | 1.87 | 151.07 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9314.0 | 6.49 | 137.59 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9315.0 | 3.96 | 143.88 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9316.0 | 3.82 | 143.83 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9317.0 | 7.06 | 130.29 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9318.0 | 10.35 | 117.73 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9319.0 | 3.54 | 138.21 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9320.0 | 1.61 | 142.46 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9321.0 | .57 | 139.73 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9322.0 | .61 | 139.63 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9323.0 | 1.43 | 143.33 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9324.0 | 1.28 | 143.16 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9325.0 | .21 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9326.0 | 1.29 | 143.51 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9327.0 | 6.21 | 131.82 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9328.0 | 2.89 | 140.68 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9329.0 | .28 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9330.0 | .10 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9331.0 | .32 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
```
