```markdown
| DEPTH  | POROSITY | SW      | SUMMATION POR-FT | SUMMATION SW-FT | SUMMATION HPV | SUMMATION TVD | FAIL DISCRIMINATION |
|--------|----------|---------|------------------|------------------|----------------|----------------|----------------------|
| 9332.0 | .52      | 138.90  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9333.0 | .21      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9334.0 | .05      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9335.0 | .03      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9336.0 | .13      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9337.0 | .18      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9338.0 | .14      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9339.0 | .38      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9340.0 | 3.81     | 145.88  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9341.0 | 9.65     | 130.82  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9342.0 | .78      | 150.98  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9343.0 | 2.71     | 153.33  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9344.0 | 3.86     | 150.03  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9345.0 | 2.17     | 153.56  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9346.0 | 2.40     | 155.46  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9347.0 | 2.75     | 159.32  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9348.0 | 2.18     | 161.82  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9349.0 | .41      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9350.0 | .02      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9351.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9352.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9353.0 | .01      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9354.0 | .05      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9355.0 | .18      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9356.0 | .51      | 150.91  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9357.0 | .24      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9358.0 | .30      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9359.0 | .10      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9360.0 | .03      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9361.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9362.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9363.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9364.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9365.0 | .00      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9366.0 | .30      | 100.00  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9367.0 | 4.95     | 140.85  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9368.0 | 6.41     | 137.49  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9369.0 | 11.24    | 121.55  | .000             | .000             | .000           | .0             | 51 55 60             |
| 9370.0 | 24.39    | 93.84   | .000             | .000             | .000           | .0             | 51 60                |
| 9371.0 | 15.38    | 116.32  | .000             | .000             | .000           | .0             | 51 60                |
| 9372.0 | 24.28    | 97.24   | .000             | .000             | .000           | .0             | 51 60                |
| 9373.0 | 25.89    | 89.74   | .000             | .000             | .000           | .0             | 51 60                |
| 9374.0 | 31.53    | 87.82   | .000             | .000             | .000           | .0             | 51 60                |
| 9375.0 | 32.78    | 91.12   | .000             | .000             | .000           | .0             | 51 60                |
| 9376.0 | 27.59    | 97.66   | .000             | .000             | .000           | .0             | 51 60                |
| 9377.0 | 9.24     | 146.31  | .000             | .000             | .000           | .0             | 51 60                |
| 9378.0 | 2.90     | 162.80  | .000             | .000             | .000           | .0             | 51 55 60             |
```
