| DEPTH | POROSITY | SW | SUMMATION POR-FT | SUMMATION SW-FT | SUMMATION HPV | SUMMATION TVD | FAIL DISCRIMINATION |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 9379.0 | 3.31 | 159.45 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9380.0 | .17 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9381.0 | .75 | 151.15 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9382.0 | 5.23 | 147.61 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9383.0 | 14.20 | 119.21 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9384.0 | 5.11 | 146.96 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9385.0 | 2.15 | 153.09 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9386.0 | 10.98 | 126.66 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9387.0 | 8.46 | 135.05 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9388.0 | 20.49 | 101.25 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9389.0 | 16.00 | 110.78 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9390.0 | 13.53 | 118.44 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9391.0 | 17.57 | 108.78 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9392.0 | 7.69 | 137.33 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9393.0 | 3.86 | 151.54 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9394.0 | 13.59 | 119.65 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9395.0 | 9.08 | 134.27 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9396.0 | .76 | 153.63 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9397.0 | .01 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9398.0 | .21 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9399.0 | 3.76 | 156.23 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9400.0 | 3.46 | 150.75 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9401.0 | .49 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9402.0 | .17 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9403.0 | .13 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9404.0 | 2.33 | 146.08 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9405.0 | 1.29 | 148.80 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9406.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9407.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9408.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9409.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9410.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9411.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9412.0 | .17 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9413.0 | 27.48 | 77.17 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9414.0 | 28.90 | 72.88 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9415.0 | 11.28 | 97.29 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9416.0 | 23.85 | 77.78 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9417.0 | 5.67 | 115.87 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9418.0 | 1.33 | 125.25 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9419.0 | 3.82 | 125.58 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9420.0 | 4.89 | 127.12 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9421.0 | .04 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9422.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9423.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9424.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
| 9425.0 | .00 | 100.00 | .000 | .000 | .000 | .0 | 51 55 60 |
