```markdown
| DEPTH | POROSITY | SW | SUMMATION |  | SUMMATION |  | SUMMATION |  | SUMMATION |  | FAIL DISCRIMINATION |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  |  |  | POR-FT |  | SW-FT |  | HPV |  | TVD |  |  |
| 9426.0 | .02 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9427.0 | .55 | 124.21 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9428.0 | 4.72 | 119.02 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9429.0 | 4.89 | 128.39 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9430.0 | .00 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9431.0 | .00 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9432.0 | .00 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9433.0 | .21 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9434.0 | 7.93 | 96.46 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9435.0 | 11.63 | 87.77 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9436.0 | 11.19 | 83.51 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9437.0 | 1.97 | 103.02 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9438.0 | .39 | 100.00 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9439.0 | 6.20 | 93.72 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9440.0 | 11.89 | 90.70 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9441.0 | 15.30 | 98.41 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9442.0 | 16.38 | 99.58 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9443.0 | 14.53 | 91.45 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9444.0 | 14.61 | 84.58 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9445.0 | 15.75 | 80.71 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9446.0 | 18.86 | 79.31 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9447.0 | 21.63 | 80.22 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9448.0 | 20.84 | 77.79 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9449.0 | 18.71 | 75.50 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9450.0 | 15.80 | 73.29 | .000 |  | .000 |  | .000 |  | .0 |  | 51 55 60 |
| 9451.0 | 13.29 | 68.35 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9452.0 | 12.67 | 63.09 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9453.0 | 12.52 | 63.09 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9454.0 | 13.05 | 69.77 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9455.0 | 8.27 | 76.23 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9456.0 | 2.40 | 96.21 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9457.0 | 8.85 | 86.55 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9458.0 | 3.92 | 94.04 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9459.0 | 3.65 | 91.82 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9460.0 | 3.31 | 98.94 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9461.0 | 2.68 | 109.18 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9462.0 | 1.00 | 120.95 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9463.0 | .39 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9464.0 | .26 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9465.0 | .08 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9466.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9467.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9468.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9469.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9470.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9471.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
| 9472.0 | .00 | 100.00 | .133 |  | .091 |  | .042 |  | 1.0 |  | 51 55 60 |
```
