Wellbore,Casing type,Casing diameter [in],Casing depth [m],Hole diameter [in],Hole depth [m],LOT/FIT mud eqv. [g/cm3],Formation test type
7/11-1,Conductor,30.0,140.0,36.0,,,
7/11-1,Surface,30.0,141.0,36.0,141.0,,
7/11-1,Intermediate,20.0,457.0,26.0,463.0,,
7/11-1,Surface,20.0,457.0,26.0,,,
7/11-1,Intermediate,13.375,1965.0,17.5,1982.0,,
7/11-1,Intermediate,9.625,3124.0,12.25,3145.0,,
7/11-1,Production,9.625,3124.0,12.25,,,
7/11-2,Conductor,30.0,129.5,36.0,129.5,,
7/11-2,Surface,30.0,133.0,36.0,133.0,,
7/11-2,Surface,20.0,457.2,26.0,457.2,,
7/11-2,Intermediate,20.0,484.0,26.0,518.0,,
7/11-2,Intermediate,13.375,1945.0,17.5,1982.0,,
7/11-2,Intermediate,9.625,3204.0,12.25,3428.0,,
7/11-2,Production,9.625,3394.1,12.25,3394.1,,
7/11-3,Surface,20.0,176.0,26.0,172.0,,
7/11-3,Intermediate,13.375,496.0,17.5,511.0,,
7/11-3,Intermediate,9.625,1973.0,12.25,1994.0,,
7/11-3,Production,7.0,3341.0,8.5,3351.0,,
7/11-7,Conductor,30.0,183.8,36.0,,,
7/11-7,Surface,20.0,498.0,26.0,,,
7/11-7,Intermediate,16.0,1379.2,,1390.0,1.7,LOT
7/11-7,Intermediate,13.375,3156.0,17.5,3158.0,1.8,LOT
7/11-7,Intermediate,9.625,3492.8,12.25,3489.0,1.83,LOT
7/11-7,Liner,7.0,4912.8,8.5,4913.0,,
